Station, Line, Date, Swipes
103 ST, 1, 11/26/2016, 4524
116 ST-COLUMBIA, 1, 11/26/2016, 5253
125 ST, 1, 11/26/2016, 4656
137 ST CITY COL, 1, 11/26/2016, 7265
145 ST, 1, 11/26/2016, 7001
14TH STREET, 1, 11/26/2016, 2959
157 ST, 1, 11/26/2016, 6562
18 ST, 1, 11/26/2016, 3513
181 ST, 1, 11/26/2016, 8295
191 ST, 1, 11/26/2016, 5232
207 ST, 1, 11/26/2016, 4771
215 ST, 1, 11/26/2016, 882
23 ST, 1, 11/26/2016, 6731
231 ST, 1, 11/26/2016, 5643
238 ST, 1, 11/26/2016, 2141
28 ST, 1, 11/26/2016, 4963
50 ST, 1, 11/26/2016, 12933
66 ST-LINCOLN, 1, 11/26/2016, 11204
79 ST, 1, 11/26/2016, 9271
86 ST, 1, 11/26/2016, 9646
9TH STREET, 1, 11/26/2016, 1774
CANAL ST, 1, 11/26/2016, 1995
CATHEDRAL PKWY, 1, 11/26/2016, 6812
CHRISTOPHER ST, 1, 11/26/2016, 7264
CITY / BUS, 1, 11/26/2016, 4440
DYCKMAN ST, 1, 11/26/2016, 5261
EXCHANGE PLACE, 1, 11/26/2016, 4571
FRANKLIN ST, 1, 11/26/2016, 1878
GROVE STREET, 1, 11/26/2016, 7358
HARRISON, 1, 11/26/2016, 3062
HOUSTON ST, 1, 11/26/2016, 3253
JOURNAL SQUARE, 1, 11/26/2016, 9253
LACKAWANNA, 1, 11/26/2016, 1268
MARBLE HILL-225, 1, 11/26/2016, 3875
NEWARK BM BW, 1, 11/26/2016, 6752
NEWARK C, 1, 11/26/2016, 930
NEWARK HM HE, 1, 11/26/2016, 0
NEWARK HW BMEBE, 1, 11/26/2016, 0
PAVONIA/NEWPORT, 1, 11/26/2016, 7764
RECTOR ST, 1, 11/26/2016, 4516
ST. GEORGE, 1, 11/26/2016, 3928
THIRTY ST, 1, 11/26/2016, 1249
THIRTY THIRD ST, 1, 11/26/2016, 7416
TOMPKINSVILLE, 1, 11/26/2016, 487
TWENTY THIRD ST, 1, 11/26/2016, 1742
V.CORTLANDT PK, 1, 11/26/2016, 4120
WAKEFIELD/241, 2, 11/26/2016, 2877
145 ST, 3, 11/26/2016, 1815
HARLEM 148 ST, 3, 11/26/2016, 2027
KINGSTON AV, 3, 11/26/2016, 2343
NEW LOTS AV, 3, 11/26/2016, 3209
NOSTRAND AV, 3, 11/26/2016, 2190
PENNSYLVANIA AV, 3, 11/26/2016, 0
ROCKAWAY AV, 3, 11/26/2016, 3304
SARATOGA AV, 3, 11/26/2016, 2765
VAN SICLEN AV, 3, 11/26/2016, 2914
167 ST, 4, 11/26/2016, 5979
170 ST, 4, 11/26/2016, 5594
176 ST, 4, 11/26/2016, 3972
183 ST, 4, 11/26/2016, 4030
BEDFORD PK BLVD, 4, 11/26/2016, 2734
BURNSIDE AV, 4, 11/26/2016, 6305
FORDHAM RD, 4, 11/26/2016, 7847
KINGSBRIDGE RD, 4, 11/26/2016, 4931
MOSHOLU PKWY, 4, 11/26/2016, 4379
MT EDEN AV, 4, 11/26/2016, 3169
WOODLAWN, 4, 11/26/2016, 4137
BAYCHESTER AV, 5, 11/26/2016, 1223
EASTCHSTER/DYRE, 5, 11/26/2016, 1486
GUN HILL RD, 5, 11/26/2016, 2138
MORRIS PARK, 5, 11/26/2016, 800
PELHAM PKWY, 5, 11/26/2016, 796
103 ST, 6, 11/26/2016, 7232
110 ST, 6, 11/26/2016, 7154
116 ST, 6, 11/26/2016, 8943
23 ST, 6, 11/26/2016, 3581
28 ST, 6, 11/26/2016, 4270
3 AV 138 ST, 6, 11/26/2016, 3738
33 ST, 6, 11/26/2016, 5294
51 ST, 6, 11/26/2016, 8354
68ST-HUNTER CO, 6, 11/26/2016, 8748
77 ST, 6, 11/26/2016, 14009
96 ST, 6, 11/26/2016, 8576
ASTOR PL, 6, 11/26/2016, 2031
BROOK AV, 6, 11/26/2016, 3404
BUHRE AV, 6, 11/26/2016, 1413
CASTLE HILL AV, 6, 11/26/2016, 3599
CYPRESS AV, 6, 11/26/2016, 2132
E 143/ST MARY'S, 6, 11/26/2016, 432
E 149 ST, 6, 11/26/2016, 2602
ELDER AV, 6, 11/26/2016, 3914
HUNTS POINT AV, 6, 11/26/2016, 4629
LONGWOOD AV, 6, 11/26/2016, 1704
MIDDLETOWN RD, 6, 11/26/2016, 677
MORISN AV/SNDVW, 6, 11/26/2016, 4066
PARKCHESTER, 6, 11/26/2016, 8423
PELHAM BAY PARK, 6, 11/26/2016, 3702
SPRING ST, 6, 11/26/2016, 2656
ST LAWRENCE AV, 6, 11/26/2016, 2545
WESTCHESTER SQ, 6, 11/26/2016, 2670
WHITLOCK AV, 6, 11/26/2016, 1060
ZEREGA AV, 6, 11/26/2016, 1134
103 ST-CORONA, 7, 11/26/2016, 13527
111 ST, 7, 11/26/2016, 7709
33 ST-RAWSON ST, 7, 11/26/2016, 1532
34 ST-HUDSON YD, 7, 11/26/2016, 4307
40 ST LOWERY ST, 7, 11/26/2016, 4360
46 ST BLISS ST, 7, 11/26/2016, 7430
52 ST, 7, 11/26/2016, 2951
61 ST WOODSIDE, 7, 11/26/2016, 9796
69 ST, 7, 11/26/2016, 2674
82 ST-JACKSON H, 7, 11/26/2016, 10513
90 ST-ELMHURST, 7, 11/26/2016, 11388
COURT SQ, 7, 11/26/2016, 2045
FLUSHING-MAIN, 7, 11/26/2016, 38560
HUNTERS PT AV, 7, 11/26/2016, 1264
JUNCTION BLVD, 7, 11/26/2016, 15078
METS-WILLETS PT, 7, 11/26/2016, 1626
VERNON-JACKSON, 7, 11/26/2016, 7027
116 ST, 23, 11/26/2016, 6129
125 ST, 23, 11/26/2016, 8214
135 ST, 23, 11/26/2016, 8278
BERGEN ST, 23, 11/26/2016, 1822
CENTRAL PK N110, 23, 11/26/2016, 5478
CLARK ST, 23, 11/26/2016, 3124
EASTN PKWY-MUSM, 23, 11/26/2016, 2691
GRAND ARMY PLAZ, 23, 11/26/2016, 3441
HOYT ST, 23, 11/26/2016, 3948
WALL ST, 23, 11/26/2016, 5338
174 ST, 25, 11/26/2016, 4012
219 ST, 25, 11/26/2016, 927
225 ST, 25, 11/26/2016, 1829
233 ST, 25, 11/26/2016, 2179
3 AV-149 ST, 25, 11/26/2016, 12578
ALLERTON AV, 25, 11/26/2016, 2396
BEVERLY RD, 25, 11/26/2016, 2375
BRONX PARK EAST, 25, 11/26/2016, 855
BURKE AV, 25, 11/26/2016, 1479
CHURCH AV, 25, 11/26/2016, 4862
E 180 ST, 25, 11/26/2016, 4184
FLATBUSH AV-B.C, 25, 11/26/2016, 8090
FREEMAN ST, 25, 11/26/2016, 2583
GUN HILL RD, 25, 11/26/2016, 4567
INTERVALE AV, 25, 11/26/2016, 1769
JACKSON AV, 25, 11/26/2016, 3041
NEREID AV, 25, 11/26/2016, 1189
NEWKIRK AV, 25, 11/26/2016, 3545
PELHAM PKWY, 25, 11/26/2016, 3870
PRESIDENT ST, 25, 11/26/2016, 1647
PROSPECT AV, 25, 11/26/2016, 4194
SIMPSON ST, 25, 11/26/2016, 5327
STERLING ST, 25, 11/26/2016, 2962
WEST FARMS SQ, 25, 11/26/2016, 4099
WINTHROP ST, 25, 11/26/2016, 2454
CROWN HTS-UTICA, 34, 11/26/2016, 15900
138/GRAND CONC, 45, 11/26/2016, 1560
BOWLING GREEN, 45, 11/26/2016, 12163
WALL ST, 45, 11/26/2016, 5560
34 ST-PENN STA, 123, 11/26/2016, 17942
72 ST, 123, 11/26/2016, 20348
96 ST, 123, 11/26/2016, 19830
CHAMBERS ST, 123, 11/26/2016, 6733
149/GRAND CONC, 245, 11/26/2016, 6081
125 ST, 456, 11/26/2016, 13925
86 ST, 456, 11/26/2016, 33883
NEVINS ST, 2345, 11/26/2016, 4711
TIMES SQ-42 ST, 1237ACENQRSW, 11/26/2016, 51331
34 ST-PENN STA, 123ACE, 11/26/2016, 29157
14 ST, 123FLM, 11/26/2016, 13414
59 ST COLUMBUS, 1ABCD, 11/26/2016, 7403
168 ST, 1AC, 11/26/2016, 4657
SOUTH FERRY, 1RW, 11/26/2016, 10555
FULTON ST, 2345ACJZ, 11/26/2016, 30889
ATL AV-BARCLAY, 2345BDNQR, 11/26/2016, 11726
BOROUGH HALL, 2345R, 11/26/2016, 10593
FRANKLIN AV, 2345S, 11/26/2016, 6821
PARK PLACE, 23ACE, 11/26/2016, 1331
GRD CNTRL-42 ST, 4567S, 11/26/2016, 57442
BROOKLYN BRIDGE, 456JZ, 11/26/2016, 8268
14 ST-UNION SQ, 456LNQRW, 11/26/2016, 19816
59 ST, 456NQRW, 11/26/2016, 24154
161/YANKEE STAD, 4BD, 11/26/2016, 4699
BLEECKER ST, 6DF, 11/26/2016, 6300
5 AVE, 7BDFM, 11/26/2016, 6469
74 ST-BROADWAY, 7EFMR, 11/26/2016, 2504
QUEENSBORO PLZ, 7NQW, 11/26/2016, 6505
104 ST, A, 11/26/2016, 812
111 ST, A, 11/26/2016, 907
175 ST, A, 11/26/2016, 7095
181 ST, A, 11/26/2016, 5341
190 ST, A, 11/26/2016, 2469
80 ST, A, 11/26/2016, 2270
88 ST, A, 11/26/2016, 1184
AQUEDUCT N.COND, A, 11/26/2016, 480
AQUEDUCT RACETR, A, 11/26/2016, 2086
BEACH 25 ST, A, 11/26/2016, 1020
BEACH 36 ST, A, 11/26/2016, 551
BEACH 44 ST, A, 11/26/2016, 392
BEACH 60 ST, A, 11/26/2016, 1447
BEACH 67 ST, A, 11/26/2016, 1391
DYCKMAN ST, A, 11/26/2016, 3407
FAR ROCKAWAY, A, 11/26/2016, 2835
GRANT AV, A, 11/26/2016, 3733
HOWARD BCH JFK, A, 11/26/2016, 2589
INWOOD-207 ST, A, 11/26/2016, 4326
OZONE PK LEFFRT, A, 11/26/2016, 3434
ROCKAWAY BLVD, A, 11/26/2016, 3568
145 ST, ABCD, 11/26/2016, 14351
59 ST COLUMBUS, ABCD1, 11/26/2016, 27429
W 4 ST-WASH SQ, ABCDEFM, 11/26/2016, 17871
EUCLID AV, AC, 11/26/2016, 5965
HIGH ST, AC, 11/26/2016, 4741
NOSTRAND AV, AC, 11/26/2016, 9885
UTICA AV, AC, 11/26/2016, 8617
168 ST, AC1, 11/26/2016, 6765
125 ST, ACBD, 11/26/2016, 18209
34 ST-PENN STA, ACE, 11/26/2016, 41036
CANAL ST, ACE, 11/26/2016, 7838
CHAMBERS ST, ACE23, 11/26/2016, 9599
WORLD TRADE CTR, ACE23, 11/26/2016, 8847
14 ST, ACEL, 11/26/2016, 8386
8 AV, ACEL, 11/26/2016, 13908
42 ST-PORT AUTH, ACENQRS1237W, 11/26/2016, 55896
TIMES SQ-42 ST, ACENQRS1237W, 11/26/2016, 4022
JAY ST-METROTEC, ACF, 11/26/2016, 13919
HOYT-SCHER, ACG, 11/26/2016, 4913
BROADWAY JCT, ACJLZ, 11/26/2016, 5407
FULTON ST, ACJZ2345, 11/26/2016, 10981
FRANKLIN AV, ACS, 11/26/2016, 3143
BEACH 105 ST, AS, 11/26/2016, 70
BEACH 90 ST, AS, 11/26/2016, 369
BEACH 98 ST, AS, 11/26/2016, 198
BROAD CHANNEL, AS, 11/26/2016, 88
ROCKAWAY PARK B, AS, 11/26/2016, 352
103 ST, BC, 11/26/2016, 1941
116 ST, BC, 11/26/2016, 2258
135 ST, BC, 11/26/2016, 1799
72 ST, BC, 11/26/2016, 3719
81 ST-MUSEUM, BC, 11/26/2016, 7557
86 ST, BC, 11/26/2016, 3478
96 ST, BC, 11/26/2016, 2711
CATHEDRAL PKWY, BC, 11/26/2016, 2943
155 ST, BD, 11/26/2016, 2326
167 ST, BD, 11/26/2016, 6831
170 ST, BD, 11/26/2016, 4327
174-175 STS, BD, 11/26/2016, 3261
182-183 STS, BD, 11/26/2016, 3425
BEDFORD PK BLVD, BD, 11/26/2016, 3735
FORDHAM RD, BD, 11/26/2016, 7829
GRAND ST, BD, 11/26/2016, 16223
KINGSBRIDGE RD, BD, 11/26/2016, 4406
TREMONT AV, BD, 11/26/2016, 5629
161/YANKEE STAD, BD4, 11/26/2016, 8972
7 AV, BDE, 11/26/2016, 5932
47-50 STS ROCK, BDFM, 11/26/2016, 22249
42 ST-BRYANT PK, BDFM7, 11/26/2016, 17331
34 ST-HERALD SQ, BDFMNQRW, 11/26/2016, 74248
B'WAY-LAFAYETTE, BDFQ6, 11/26/2016, 12556
DEKALB AV, BDNQR, 11/26/2016, 8349
ATL AV-BARCLAY, BDNQR2345, 11/26/2016, 16415
7 AV, BQ, 11/26/2016, 3646
AVENUE H, BQ, 11/26/2016, 806
AVENUE J, BQ, 11/26/2016, 2419
AVENUE M, BQ, 11/26/2016, 1837
AVENUE U, BQ, 11/26/2016, 4261
BEVERLEY ROAD, BQ, 11/26/2016, 845
BRIGHTON BEACH, BQ, 11/26/2016, 5962
CHURCH AV, BQ, 11/26/2016, 11285
CORTELYOU RD, BQ, 11/26/2016, 2434
KINGS HWY, BQ, 11/26/2016, 9137
NECK RD, BQ, 11/26/2016, 2305
NEWKIRK PLAZA, BQ, 11/26/2016, 6389
PARKSIDE AV, BQ, 11/26/2016, 1555
SHEEPSHEAD BAY, BQ, 11/26/2016, 5712
PROSPECT PARK, BQS, 11/26/2016, 6631
155 ST, C, 11/26/2016, 1499
163 ST-AMSTERDM, C, 11/26/2016, 2510
CLINTON-WASH AV, C, 11/26/2016, 2949
KINGSTON-THROOP, C, 11/26/2016, 3357
LAFAYETTE AV, C, 11/26/2016, 2849
LIBERTY AV, C, 11/26/2016, 1239
RALPH AV, C, 11/26/2016, 3108
ROCKAWAY AV, C, 11/26/2016, 2736
SHEPHERD AV, C, 11/26/2016, 1794
VAN SICLEN AVE, C, 11/26/2016, 1660
23 ST, CE, 11/26/2016, 7120
50 ST, CE, 11/26/2016, 10646
SPRING ST, CE, 11/26/2016, 4073
18 AV, D, 11/26/2016, 3763
20 AV, D, 11/26/2016, 3203
25 AV, D, 11/26/2016, 3389
50 ST, D, 11/26/2016, 1391
55 ST, D, 11/26/2016, 743
71 ST, D, 11/26/2016, 3909
79 ST, D, 11/26/2016, 3635
9 AV, D, 11/26/2016, 3657
BAY 50 ST, D, 11/26/2016, 1592
BAY PKWY, D, 11/26/2016, 4659
FT HAMILTON PKY, D, 11/26/2016, 1830
NORWOOD 205 ST, D, 11/26/2016, 4822
4 AV-9 ST, DFGMNR, 11/26/2016, 1989
4AV-9 ST, DFGMNR, 11/26/2016, 4531
CONEY IS-STILLW, DFNQ, 11/26/2016, 7165
36 ST, DNR, 11/26/2016, 7049
JAMAICA VAN WK, E, 11/26/2016, 2330
JFK JAMAICA CT1, E, 11/26/2016, 5965
75 AV, EF, 11/26/2016, 1579
BRIARWOOD, EF, 11/26/2016, 2456
KEW GARDENS, EF, 11/26/2016, 11415
FOREST HILLS 71, EFMR, 11/26/2016, 12637
JKSN HT-ROOSVLT, EFMR7, 11/26/2016, 33557
JAMAICA CENTER, EJZ, 11/26/2016, 18588
SUTPHIN-ARCHER, EJZ, 11/26/2016, 14695
5 AV/53 ST, EM, 11/26/2016, 7207
LEXINGTON AV/53, EM6, 11/26/2016, 11229
COURT SQ, EMG, 11/26/2016, 1991
COURT SQ-23 ST, EMG, 11/26/2016, 2861
QUEENS PLAZA, EMR, 11/26/2016, 3887
169 ST, F, 11/26/2016, 4894
18 AV, F, 11/26/2016, 1751
2 AV, F, 11/26/2016, 10539
21 ST-QNSBRIDGE, F, 11/26/2016, 5277
57 ST, F, 11/26/2016, 6988
AVENUE I, F, 11/26/2016, 556
AVENUE N, F, 11/26/2016, 1148
AVENUE P, F, 11/26/2016, 1058
AVENUE U, F, 11/26/2016, 993
AVENUE X, F, 11/26/2016, 1181
BAY PKWY, F, 11/26/2016, 503
DITMAS AV, F, 11/26/2016, 1577
EAST BROADWAY, F, 11/26/2016, 8914
JAMAICA 179 ST, F, 11/26/2016, 9190
KINGS HWY, F, 11/26/2016, 2167
LEXINGTON AV/63, F, 11/26/2016, 3749
NEPTUNE AV, F, 11/26/2016, 642
PARSONS BLVD, F, 11/26/2016, 3424
ROOSEVELT ISLND, F, 11/26/2016, 5001
SUTPHIN BLVD, F, 11/26/2016, 2292
YORK ST, F, 11/26/2016, 4652
15 ST-PROSPECT, FG, 11/26/2016, 2722
7 AV, FG, 11/26/2016, 4954
BERGEN ST, FG, 11/26/2016, 5221
CARROLL ST, FG, 11/26/2016, 4793
CHURCH AV, FG, 11/26/2016, 5639
FT HAMILTON PKY, FG, 11/26/2016, 2415
SMITH-9 ST, FG, 11/26/2016, 2623
DELANCEY/ESSEX, FJMZ, 11/26/2016, 12895
14 ST, FLM123, 11/26/2016, 8133
6 AV, FLM123, 11/26/2016, 3325
23 ST, FM, 11/26/2016, 11027
W 8 ST-AQUARIUM, FQ, 11/26/2016, 821
21 ST, G, 11/26/2016, 814
BEDFORD-NOSTRAN, G, 11/26/2016, 4341
BROADWAY, G, 11/26/2016, 2094
CLASSON AV, G, 11/26/2016, 2445
CLINTON-WASH AV, G, 11/26/2016, 1929
FLUSHING AV, G, 11/26/2016, 1016
FULTON ST, G, 11/26/2016, 3101
GREENPOINT AV, G, 11/26/2016, 4272
MYRTLE-WILLOUGH, G, 11/26/2016, 2919
NASSAU ST, G, 11/26/2016, 4014
METROPOLITAN AV, GL, 11/26/2016, 4949
111 ST, J, 11/26/2016, 1322
85 ST-FOREST PK, J, 11/26/2016, 2274
ALABAMA AV, J, 11/26/2016, 1413
CLEVELAND ST, J, 11/26/2016, 1894
CYPRESS HILLS, J, 11/26/2016, 792
HALSEY ST, J, 11/26/2016, 3440
KOSCIUSZKO ST, J, 11/26/2016, 2790
FLUSHING AV, JM, 11/26/2016, 4192
HEWES ST, JM, 11/26/2016, 1114
LORIMER ST, JM, 11/26/2016, 2330
MARCY AV, JMZ, 11/26/2016, 5406
MYRTLE AV, JMZ, 11/26/2016, 5883
CANAL ST, JNQRZ6W, 11/26/2016, 29002
104 ST, JZ, 11/26/2016, 1435
121 ST, JZ, 11/26/2016, 1418
75 ST-ELDERTS, JZ, 11/26/2016, 2083
BOWERY, JZ, 11/26/2016, 2920
BROAD ST, JZ, 11/26/2016, 1893
CHAUNCEY ST, JZ, 11/26/2016, 1813
CRESCENT ST, JZ, 11/26/2016, 2846
GATES AV, JZ, 11/26/2016, 3486
NORWOOD AV, JZ, 11/26/2016, 2041
VAN SICLEN AV, JZ, 11/26/2016, 1703
WOODHAVEN BLVD, JZ, 11/26/2016, 2669
CHAMBERS ST, JZ456, 11/26/2016, 3266
1 AV, L, 11/26/2016, 11378
3 AV, L, 11/26/2016, 4022
ATLANTIC AV, L, 11/26/2016, 923
BEDFORD AV, L, 11/26/2016, 17774
BUSHWICK AV, L, 11/26/2016, 1328
CANARSIE-ROCKAW, L, 11/26/2016, 5703
DEKALB AV, L, 11/26/2016, 7433
EAST 105 ST, L, 11/26/2016, 1884
GRAHAM AV, L, 11/26/2016, 4981
GRAND ST, L, 11/26/2016, 3417
HALSEY ST, L, 11/26/2016, 4710
JEFFERSON ST, L, 11/26/2016, 4377
LIVONIA AV, L, 11/26/2016, 1745
MONTROSE AV, L, 11/26/2016, 4088
MORGAN AV, L, 11/26/2016, 5082
NEW LOTS, L, 11/26/2016, 2746
SUTTER AV, L, 11/26/2016, 2440
WILSON AV, L, 11/26/2016, 2789
LORIMER ST, LG, 11/26/2016, 2874
MYRTLE-WYCKOFF, LM, 11/26/2016, 12925
14 ST-UNION SQ, LNQR456W, 11/26/2016, 37487
CENTRAL AV, M, 11/26/2016, 1359
FOREST AVE, M, 11/26/2016, 1679
FRESH POND RD, M, 11/26/2016, 2459
KNICKERBOCKER, M, 11/26/2016, 1769
METROPOLITAN AV, M, 11/26/2016, 2371
SENECA AVE, M, 11/26/2016, 1177
36 ST, MR, 11/26/2016, 999
46 ST, MR, 11/26/2016, 4072
63 DR-REGO PARK, MR, 11/26/2016, 8469
65 ST, MR, 11/26/2016, 1843
67 AV, MR, 11/26/2016, 3501
ELMHURST AV, MR, 11/26/2016, 7647
GRAND-NEWTOWN, MR, 11/26/2016, 10772
NORTHERN BLVD, MR, 11/26/2016, 2978
STEINWAY ST, MR, 11/26/2016, 7458
WOODHAVEN BLVD, MR, 11/26/2016, 13663
18 AV, N, 11/26/2016, 1206
20 AV, N, 11/26/2016, 536
8 AV, N, 11/26/2016, 9855
86 ST, N, 11/26/2016, 697
AVENUE U, N, 11/26/2016, 858
BAY PKWY, N, 11/26/2016, 7038
FT HAMILTON PKY, N, 11/26/2016, 734
KINGS HWY, N, 11/26/2016, 693
NEW UTRECHT AV, ND, 11/26/2016, 2541
59 ST, NQR456W, 11/26/2016, 8759
49 ST, NQRW, 11/26/2016, 15800
5 AV/59 ST, NQRW, 11/26/2016, 10705
57 ST-7 AV, NQRW, 11/26/2016, 15009
30 AV, NQW, 11/26/2016, 7892
36 AV, NQW, 11/26/2016, 3970
39 AV, NQW, 11/26/2016, 1825
ASTORIA BLVD, NQW, 11/26/2016, 6337
ASTORIA DITMARS, NQW, 11/26/2016, 8773
BROADWAY, NQW, 11/26/2016, 7260
23 ST, NRW, 11/26/2016, 11357
28 ST, NRW, 11/26/2016, 6318
59 ST, NRW, 11/26/2016, 8240
8 ST-NYU, NRW, 11/26/2016, 11758
CITY HALL, NRW, 11/26/2016, 14
PRINCE ST, NRW, 11/26/2016, 16597
RECTOR ST, NRW, 11/26/2016, 13
OCEAN PKWY, Q, 11/26/2016, 1648
25 ST, R, 11/26/2016, 1802
45 ST, R, 11/26/2016, 3648
53 ST, R, 11/26/2016, 3860
77 ST, R, 11/26/2016, 2692
86 ST, R, 11/26/2016, 6668
BAY RIDGE AV, R, 11/26/2016, 4352
BAY RIDGE-95 ST, R, 11/26/2016, 2840
JAY ST-METROTEC, R, 11/26/2016, 7
PROSPECT AV, R, 11/26/2016, 2139
RIT-MANHATTAN, R, 11/26/2016, 2966
RIT-ROOSEVELT, R, 11/26/2016, 3435
UNION ST, R, 11/26/2016, 2641
WHITEHALL S-FRY, R1W, 11/26/2016, 23
BOROUGH HALL, R2345, 11/26/2016, 0
CORTLANDT ST, RNW, 11/26/2016, 4
PARK PLACE, S, 11/26/2016, 740
BOTANIC GARDEN, S2345, 11/26/2016, 548
103 ST, 1, 11/27/2016, 6496
116 ST-COLUMBIA, 1, 11/27/2016, 4753
125 ST, 1, 11/27/2016, 3826
137 ST CITY COL, 1, 11/27/2016, 6239
145 ST, 1, 11/27/2016, 5970
14TH STREET, 1, 11/27/2016, 2176
157 ST, 1, 11/27/2016, 5911
18 ST, 1, 11/27/2016, 2943
181 ST, 1, 11/27/2016, 6997
191 ST, 1, 11/27/2016, 4499
207 ST, 1, 11/27/2016, 3643
215 ST, 1, 11/27/2016, 826
23 ST, 1, 11/27/2016, 5762
231 ST, 1, 11/27/2016, 4657
238 ST, 1, 11/27/2016, 1781
28 ST, 1, 11/27/2016, 4682
50 ST, 1, 11/27/2016, 10686
66 ST-LINCOLN, 1, 11/27/2016, 9215
79 ST, 1, 11/27/2016, 8163
86 ST, 1, 11/27/2016, 8961
9TH STREET, 1, 11/27/2016, 1482
CANAL ST, 1, 11/27/2016, 1727
CATHEDRAL PKWY, 1, 11/27/2016, 6241
CHRISTOPHER ST, 1, 11/27/2016, 5908
CITY / BUS, 1, 11/27/2016, 3577
DYCKMAN ST, 1, 11/27/2016, 4496
EXCHANGE PLACE, 1, 11/27/2016, 3158
FRANKLIN ST, 1, 11/27/2016, 1517
GROVE STREET, 1, 11/27/2016, 5677
HARRISON, 1, 11/27/2016, 2101
HOUSTON ST, 1, 11/27/2016, 2952
JOURNAL SQUARE, 1, 11/27/2016, 6876
LACKAWANNA, 1, 11/27/2016, 880
MARBLE HILL-225, 1, 11/27/2016, 3297
NEWARK BM BW, 1, 11/27/2016, 4542
NEWARK C, 1, 11/27/2016, 854
NEWARK HM HE, 1, 11/27/2016, 0
NEWARK HW BMEBE, 1, 11/27/2016, 843
PAVONIA/NEWPORT, 1, 11/27/2016, 5286
RECTOR ST, 1, 11/27/2016, 3406
ST. GEORGE, 1, 11/27/2016, 2749
THIRTY ST, 1, 11/27/2016, 1010
THIRTY THIRD ST, 1, 11/27/2016, 6251
TOMPKINSVILLE, 1, 11/27/2016, 251
TWENTY THIRD ST, 1, 11/27/2016, 1209
V.CORTLANDT PK, 1, 11/27/2016, 2979
WAKEFIELD/241, 2, 11/27/2016, 2430
145 ST, 3, 11/27/2016, 1440
HARLEM 148 ST, 3, 11/27/2016, 1658
KINGSTON AV, 3, 11/27/2016, 2679
NEW LOTS AV, 3, 11/27/2016, 2580
NOSTRAND AV, 3, 11/27/2016, 1868
PENNSYLVANIA AV, 3, 11/27/2016, 0
ROCKAWAY AV, 3, 11/27/2016, 2717
SARATOGA AV, 3, 11/27/2016, 2250
VAN SICLEN AV, 3, 11/27/2016, 2489
167 ST, 4, 11/27/2016, 4864
170 ST, 4, 11/27/2016, 4638
176 ST, 4, 11/27/2016, 3194
183 ST, 4, 11/27/2016, 3322
BEDFORD PK BLVD, 4, 11/27/2016, 2749
BURNSIDE AV, 4, 11/27/2016, 5116
FORDHAM RD, 4, 11/27/2016, 6239
KINGSBRIDGE RD, 4, 11/27/2016, 4069
MOSHOLU PKWY, 4, 11/27/2016, 3744
MT EDEN AV, 4, 11/27/2016, 2615
WOODLAWN, 4, 11/27/2016, 3231
BAYCHESTER AV, 5, 11/27/2016, 897
EASTCHSTER/DYRE, 5, 11/27/2016, 944
GUN HILL RD, 5, 11/27/2016, 1458
MORRIS PARK, 5, 11/27/2016, 656
PELHAM PKWY, 5, 11/27/2016, 590
103 ST, 6, 11/27/2016, 5993
110 ST, 6, 11/27/2016, 5512
116 ST, 6, 11/27/2016, 7789
23 ST, 6, 11/27/2016, 5038
28 ST, 6, 11/27/2016, 5270
3 AV 138 ST, 6, 11/27/2016, 3208
33 ST, 6, 11/27/2016, 6951
51 ST, 6, 11/27/2016, 6727
68ST-HUNTER CO, 6, 11/27/2016, 7089
77 ST, 6, 11/27/2016, 10883
96 ST, 6, 11/27/2016, 7067
ASTOR PL, 6, 11/27/2016, 5104
BROOK AV, 6, 11/27/2016, 2780
BUHRE AV, 6, 11/27/2016, 1087
CASTLE HILL AV, 6, 11/27/2016, 2919
CYPRESS AV, 6, 11/27/2016, 1596
E 143/ST MARY'S, 6, 11/27/2016, 414
E 149 ST, 6, 11/27/2016, 2102
ELDER AV, 6, 11/27/2016, 3181
HUNTS POINT AV, 6, 11/27/2016, 3791
LONGWOOD AV, 6, 11/27/2016, 1334
MIDDLETOWN RD, 6, 11/27/2016, 575
MORISN AV/SNDVW, 6, 11/27/2016, 3180
PARKCHESTER, 6, 11/27/2016, 6635
PELHAM BAY PARK, 6, 11/27/2016, 2788
SPRING ST, 6, 11/27/2016, 5680
ST LAWRENCE AV, 6, 11/27/2016, 2194
WESTCHESTER SQ, 6, 11/27/2016, 2086
WHITLOCK AV, 6, 11/27/2016, 813
ZEREGA AV, 6, 11/27/2016, 913
103 ST-CORONA, 7, 11/27/2016, 10932
111 ST, 7, 11/27/2016, 6012
33 ST-RAWSON ST, 7, 11/27/2016, 1129
34 ST-HUDSON YD, 7, 11/27/2016, 5437
40 ST LOWERY ST, 7, 11/27/2016, 3110
46 ST BLISS ST, 7, 11/27/2016, 5650
52 ST, 7, 11/27/2016, 2478
61 ST WOODSIDE, 7, 11/27/2016, 8474
69 ST, 7, 11/27/2016, 2029
82 ST-JACKSON H, 7, 11/27/2016, 8335
90 ST-ELMHURST, 7, 11/27/2016, 9036
COURT SQ, 7, 11/27/2016, 1602
FLUSHING-MAIN, 7, 11/27/2016, 30152
HUNTERS PT AV, 7, 11/27/2016, 1090
